"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nsg2",2.3715015708167e-09,-8.2644482840249,0,0.947,7.36422382785709e-05
"Rbm5",1.01861673066972e-08,-7.13389412734665,0,0.895,0.000316311053374869
"Malat1",2.14307709586203e-08,-4.10681685033783,0.2,1,0.000665489730578036
"Ly6h",2.34679768527063e-08,-4.4260684901449,0.04,0.947,0.00072875108520709
"Son",2.72796193427668e-08,-4.16996435930825,0.04,0.947,0.000847114019450939
"Ogt",3.1689152215327e-08,-4.20341797780105,0.04,0.947,0.000984043243742549
"Ncam1",3.36486220767244e-08,-3.83299966738631,0.12,1,0.00104489066134852
"Rtn1",3.78759844029211e-08,-3.31624168739602,0.2,1,0.00117616294366391
"Dlgap4",4.11784552339879e-08,-6.5984483418275,0,0.842,0.00127871457038103
"Crmp1",1.37731448518164e-07,-2.97076099314911,0.12,1,0.00427697467083455
"Olfm1",1.57101747621277e-07,-6.64290659616602,0,0.789,0.00487848056888351
"Pabpn1",1.57101747621277e-07,-6.77806990030891,0,0.789,0.00487848056888351
"Cdk5r1",1.57101747621277e-07,-5.99368134790679,0,0.789,0.00487848056888351
"Mef2c",1.57101747621277e-07,-7.81484551745045,0,0.789,0.00487848056888351
"Mpped1",1.57101747621277e-07,-6.73787689278791,0,0.789,0.00487848056888351
"Rbfox2",1.61649762907057e-07,-3.90939643482636,0.04,0.895,0.00501971008755285
"Gria2",2.48282342904535e-07,-2.41768581181504,0.04,0.895,0.00770991159421452
"Epha5",2.48282342904535e-07,-2.3839500723443,0.04,0.895,0.00770991159421452
"Ubn2",2.48282342904535e-07,-1.19099860536399,0.04,0.895,0.00770991159421452
"Ctxn1",2.48282342904535e-07,-2.46674646413579,0.04,0.895,0.00770991159421452
"Nsg1",2.77603737608489e-07,-3.03254853646199,0.08,0.947,0.0086204288639564
"Tia1",3.11960762193741e-07,-2.41078667997984,0.12,1,0.00968731754840224
"Map4k4",3.65413961758997e-07,-3.40132318136751,0.08,0.895,0.0113471997545021
"Bcl11a",3.79043408775518e-07,-4.18526392385109,0.04,0.842,0.0117704349727062
"6330403K07Rik",4.183843249662e-07,-2.69153958987734,0.08,0.947,0.0129920884431754
"Gpm6a",4.36807058622303e-07,-3.85642139016527,0.04,0.842,0.0135641695913984
"Dbn1",4.79066014653956e-07,-2.64519459091083,0.08,0.947,0.0148764369530493
"Plppr3",5.03018010803178e-07,-4.0636272004968,0.04,0.842,0.0156202182894711
"Arglu1",5.03018010803178e-07,-3.84832801580612,0.04,0.842,0.0156202182894711
"Map2",5.51433666542726e-07,-3.66715209619438,0.08,0.895,0.0171236696471513
"Scn3a",5.67162294647695e-07,-6.18361142860831,0,0.737,0.0176120907356949
"Miat",5.67162294647695e-07,-7.21109977455494,0,0.737,0.0176120907356949
"Slc22a17",5.67162294647695e-07,-5.97674352495523,0,0.737,0.0176120907356949
"mt-Atp6",6.17768681612155e-07,-2.34824553428229,0.76,0.947,0.0191835708701022
"Mllt11",6.31662360620724e-07,-2.78321920934222,0.08,0.895,0.0196150112843553
"Pnn",6.65658133772664e-07,-3.54693565378541,0.04,0.842,0.0206706820280425
"Igfbpl1",8.38781844387656e-07,-2.98167482895448,0.16,0.947,0.0260466926137699
"Nrxn2",8.78400985535427e-07,-2.17298792891287,0.04,0.842,0.0272769858038316
"Thra",9.45645536860914e-07,-3.33500681492532,0.08,0.895,0.029365130856142
"Auts2",1.01798262251641e-06,-2.39424587633441,0.12,1,0.0316114143770019
"Stmn2",1.02116034742486e-06,-3.00319670900432,0.12,0.947,0.0317100922685841
"Bzw2",1.21285383293182e-06,-1.23010767534411,0.08,0.947,0.0376627500740319
"Csnk1e",1.23343143928164e-06,-2.47372902368226,0.08,0.895,0.0383017464840129
"Cep170",1.38895433517435e-06,-2.570986259183,0.08,0.842,0.043131198970169
"Stmn3",1.40726509505581e-06,-2.63690996351136,0.08,0.895,0.0436998029967682
"mt-Nd2",1.41085300952569e-06,-2.96892996097929,0.32,0.947,0.0438112185048014
"Scg5",1.94267179627872e-06,-6.45288103504331,0,0.684,0.0603257872898429
"Nsfl1c",1.94267179627872e-06,-6.0304558565975,0,0.684,0.0603257872898429
"Celf3",1.94267179627872e-06,-6.40135293329222,0,0.684,0.0603257872898429
"Nyap1",1.94267179627872e-06,-5.91700965781585,0,0.684,0.0603257872898429
"Tenm4",1.94267179627872e-06,-6.11385499257783,0,0.684,0.0603257872898429
"Kcnq1ot1",1.94267179627872e-06,-6.77170602723528,0,0.684,0.0603257872898429
"Prmt2",1.94267179627872e-06,-6.01093301238999,0,0.684,0.0603257872898429
"Atp2b1",1.94267179627872e-06,-6.39828080393057,0,0.684,0.0603257872898429
"Tspan3",1.94267179627872e-06,-5.99057512498278,0,0.684,0.0603257872898429
"Ip6k2",1.94267179627872e-06,-5.877451749536,0,0.684,0.0603257872898429
"Tmem132a",1.94267179627872e-06,-5.80424088084638,0,0.684,0.0603257872898429
"Npdc1",1.9645035761096e-06,-3.73950234174886,0.04,0.789,0.0610037295489315
"Fubp1",2.17797616726817e-06,-2.03441567986728,0.12,1,0.0676326939221784
"Pgrmc1",2.69376654019936e-06,-2.28524348485889,0.08,0.895,0.0836495323728107
"Elavl3",2.79259178113945e-06,-2.15618646132018,0.12,1,0.0867183525797234
"Rufy3",2.94599013236417e-06,-2.39588216061785,0.04,0.789,0.0914818315803046
"Rnps1",2.94599013236417e-06,-2.66182067196917,0.04,0.789,0.0914818315803046
"Rsrp1",3.04693675437648e-06,-2.55922268306145,0.2,0.947,0.0946165270336529
"Tubb3",3.15923476907939e-06,-1.77510944970193,0.12,1,0.0981037172842223
"Zeb2",3.17457479850416e-06,-3.20318562009582,0.12,0.895,0.0985800712179498
"Aplp1",3.4764751606702e-06,-2.44865283104881,0.08,0.895,0.107954983164292
"Phf20l1",3.4764751606702e-06,-2.1077149384927,0.08,0.895,0.107954983164292
"Rbm39",3.66792623948621e-06,-2.23676850339145,0.2,1,0.113900113514765
"Basp1",3.95455382732019e-06,-2.10731385797994,0.36,1,0.122800759999774
"Dcx",4.10416739071405e-06,-2.1885308199563,0.12,0.947,0.127446709983843
"Ptprs",4.37910072779203e-06,-2.00482922161501,0.16,1,0.135984214900126
"Podxl2",4.4912612891306e-06,-2.67561475424101,0.08,0.842,0.139467136811373
"Dpysl3",4.6398268295834e-06,-2.20149165020645,0.12,0.947,0.144080542539053
"Srrm2",4.94162034309744e-06,-1.90568166775295,0.16,1,0.153452136514205
"Gdi1",4.97428300468841e-06,-2.80834364050712,0.08,0.789,0.154466410144589
"Pnisr",5.09941387592314e-06,-2.74798999904095,0.08,0.842,0.158352099089041
"Serf1",5.09941387592314e-06,-2.65831000061275,0.08,0.842,0.158352099089041
"Celf2",5.24614717456407e-06,-2.2421506221868,0.2,1,0.162908608211738
"Ptprd",5.5469400190975e-06,-4.08773351571659,0.04,0.737,0.172249128413035
"Mapt",5.78597758365021e-06,-2.07676914024897,0.08,0.842,0.17967196190509
"Klf7",6.32993635698864e-06,-5.98951679457219,0,0.632,0.196563513693568
"Mrpl41",6.32993635698864e-06,-5.40252223335557,0,0.632,0.196563513693568
"Epc2",6.32993635698864e-06,-5.59030523465682,0,0.632,0.196563513693568
"Pcsk1n",6.32993635698864e-06,-6.49918136329424,0,0.632,0.196563513693568
"L1cam",6.32993635698864e-06,-5.89344922583926,0,0.632,0.196563513693568
"Mex3a",6.32993635698864e-06,-6.23454444136982,0,0.632,0.196563513693568
"Zcchc7",6.32993635698864e-06,-5.79522620521863,0,0.632,0.196563513693568
"Srrm4",6.32993635698864e-06,-6.25776323882432,0,0.632,0.196563513693568
"Grin2b",6.32993635698864e-06,-6.42770527570694,0,0.632,0.196563513693568
"Hnrnpul1",6.32993635698864e-06,-5.58941166095536,0,0.632,0.196563513693568
"Cers4",6.32993635698864e-06,-5.57767756551479,0,0.632,0.196563513693568
"Tmem108",6.32993635698864e-06,-6.26956459015887,0,0.632,0.196563513693568
"Myh10",6.32993635698864e-06,-5.87244332247923,0,0.632,0.196563513693568
"Gdpd1",6.32993635698864e-06,-5.95700451892281,0,0.632,0.196563513693568
"Bcas2",6.42690301969034e-06,-4.3915415279715,0.12,0.737,0.199574619470444
"Kif5c",7.43367888246838e-06,-1.71677010592582,0.08,0.842,0.230838030337291
"mt-Nd3",7.53135455055902e-06,-2.29383195017262,0.16,0.895,0.233871152858509
"Csnk1a1",7.53461632131681e-06,-2.41015123908092,0.12,0.895,0.233972440625851
"Rbmx",8.24072751807132e-06,-3.21939023165344,0.04,0.737,0.255899311618669
"Pum1",8.24072751807132e-06,-2.94837774606181,0.04,0.737,0.255899311618669
"Mycbp2",8.24072751807132e-06,-2.82746957770081,0.04,0.737,0.255899311618669
"Smarca2",8.24072751807132e-06,-3.37891028921156,0.04,0.737,0.255899311618669
"Akap9",8.41733449190542e-06,-1.93353362992768,0.08,0.842,0.261383487977139
"Thoc2",9.38886822854798e-06,-2.18334369628857,0.04,0.737,0.2915525251011
"Zcchc18",9.38886822854798e-06,-2.14687103879807,0.04,0.737,0.2915525251011
"Tmem131l",9.38886822854798e-06,-1.88895586913008,0.04,0.737,0.2915525251011
"Klhl7",9.38886822854798e-06,-2.63812118977382,0.04,0.737,0.2915525251011
"Fez1",9.38886822854798e-06,-2.37420225042698,0.04,0.737,0.2915525251011
"Tagln3",9.52467947475818e-06,-1.42633424065809,0.08,0.842,0.295769871729666
"Zfp57",9.52467947475818e-06,-1.92814156147321,0.08,0.842,0.295769871729666
"Myt1l",9.58944372832237e-06,-2.57175439848636,0.12,0.895,0.297780996095594
"Pcbp2",1.06029586956468e-05,-2.38988703138407,0.12,0.842,0.32925367637592
"Serinc1",1.21597578692697e-05,-5.10551995835961,0.08,0.684,0.377596961114432
"G3bp2",1.21599231064837e-05,-2.48428573546,0.08,0.842,0.377602092225639
"Ndn",1.21707513040338e-05,-1.64211489368989,0.08,0.842,0.377938340244161
"Tnrc6c",1.21707513040338e-05,-1.31097254426286,0.08,0.842,0.377938340244161
"Tecr",1.2916276581761e-05,-2.77779619778764,0.16,0.842,0.401089136693426
"Marcksl1",1.3181254471247e-05,-2.09509933886527,0.32,0.947,0.409317495095633
"mt-Co3",1.36442939459828e-05,-1.93144013708891,0.64,0.947,0.423696259904605
"Ttc3",1.40461346493417e-05,-2.0704519179303,0.24,0.947,0.436174619266009
"Eif3c",1.4854632138832e-05,-3.35800358142066,0.08,0.737,0.461280891807149
"Frmd4a",1.50166527240671e-05,-3.84998743135832,0.04,0.684,0.466312117040456
"Bex2",1.5194803050328e-05,-1.86576291261688,0.12,0.842,0.471844219121837
"Pfdn2",1.70968690761686e-05,-3.79793335099446,0.04,0.684,0.530909075422265
"Celf4",1.74143226874681e-05,-2.55998893807847,0.08,0.789,0.540766962413948
"Nktr",1.7928223300534e-05,-5.71656365255847,0.04,0.632,0.556725118151484
"Gm3764",1.90419415064781e-05,-2.52499007862441,0.08,0.737,0.591309409600665
"Evl",1.92505297534107e-05,-1.47673080141362,0.12,0.842,0.597786700432661
"Sltm",1.94499310548784e-05,-3.49450809634909,0.04,0.684,0.603978709047139
"Zfp451",1.96720021201882e-05,-5.30475709776761,0,0.579,0.610874681838204
"Ppig",1.96720021201882e-05,-5.61035731042104,0,0.579,0.610874681838204
"Gripap1",1.96720021201882e-05,-5.88776025757916,0,0.579,0.610874681838204
"Negr1",1.96720021201882e-05,-5.82694901869401,0,0.579,0.610874681838204
"Zfp462",1.96720021201882e-05,-5.74857374346386,0,0.579,0.610874681838204
"Sgip1",1.96720021201882e-05,-5.76114236206241,0,0.579,0.610874681838204
"Krit1",1.96720021201882e-05,-6.05157649182873,0,0.579,0.610874681838204
"Srpk2",1.96720021201882e-05,-5.92469599591727,0,0.579,0.610874681838204
"Ube2k",1.96720021201882e-05,-5.52531853003132,0,0.579,0.610874681838204
"Polr2j",1.96720021201882e-05,-5.26035390835383,0,0.579,0.610874681838204
"Trim28",1.96720021201882e-05,-5.84040110687039,0,0.579,0.610874681838204
"Sbf2",1.96720021201882e-05,-5.84765981902323,0,0.579,0.610874681838204
"Fam57b",1.96720021201882e-05,-5.88417554319648,0,0.579,0.610874681838204
"Ddx50",1.96720021201882e-05,-6.06503455391032,0,0.579,0.610874681838204
"Rspry1",1.96720021201882e-05,-5.84902024725403,0,0.579,0.610874681838204
"Zswim8",1.96720021201882e-05,-5.63001353322091,0,0.579,0.610874681838204
"Dhx30",1.96720021201882e-05,-5.9430599065165,0,0.579,0.610874681838204
"Zfp445",1.96720021201882e-05,-6.05962600409741,0,0.579,0.610874681838204
"Rab3c",1.96720021201882e-05,-5.74553756333109,0,0.579,0.610874681838204
"Tmem44",1.96720021201882e-05,-5.02662687001662,0,0.579,0.610874681838204
"Rab12",1.96720021201882e-05,-5.41591462529109,0,0.579,0.610874681838204
"Setbp1",1.96720021201882e-05,-5.89862099808382,0,0.579,0.610874681838204
"Gnaq",1.96720021201882e-05,-5.84874373858291,0,0.579,0.610874681838204
"mt-Co2",2.15003647610054e-05,-1.87537533589464,0.56,0.947,0.667650826923501
"Mat2a",2.15359479722116e-05,-3.4622144652588,0.08,0.737,0.668755792381087
"Cenpv",2.21094396276415e-05,-3.18719158056791,0.04,0.684,0.686564428757153
"Hnrnph3",2.21867002143382e-05,-2.64314981708821,0.08,0.789,0.688963601755846
"Pfn2",2.21867002143382e-05,-3.41325501128409,0.12,0.737,0.688963601755846
"Tuba1a",2.2678521291102e-05,-1.56572258815707,0.52,1,0.704236121652589
"4930402H24Rik",2.50167264756597e-05,-2.20365857683823,0.08,0.789,0.776844407248661
"Copa",2.51128355740526e-05,-3.13753120764366,0.04,0.684,0.779828883081054
"Nbea",2.51128355740526e-05,-3.21924599525677,0.04,0.684,0.779828883081054
"Kdm1a",2.51128355740526e-05,-2.89508598759924,0.04,0.684,0.779828883081054
"Soga3",2.8164228681022e-05,-2.27192560413197,0.08,0.789,0.874583793231776
"Sorbs2",2.81880408858034e-05,-1.43128420516958,0.08,0.789,0.875323233626853
"Adgrl1",2.85017995590819e-05,-2.40136190711952,0.04,0.684,0.885066381708169
"Klhdc2",2.85017995590819e-05,-1.65338481980431,0.04,0.684,0.885066381708169
"Eif3d",2.85017995590819e-05,-2.01765214405678,0.04,0.684,0.885066381708169
"Sf3b1",3.08112781042565e-05,-1.9093372263649,0.12,0.895,0.956782618971476
"Snrnp70",3.08112781042565e-05,-1.29932727332056,0.12,0.895,0.956782618971476
"Tulp4",3.17392083789619e-05,-1.70955932358279,0.08,0.789,0.985597637791903
"Smarcb1",3.45039739453538e-05,-1.1172460382698,0.12,0.895,1
"Nedd4",3.49810135988234e-05,-2.75186500628123,0.08,0.737,1
"Srek1",3.56833950041383e-05,-1.96691245887807,0.08,0.789,1
"Sptan1",3.57128256303825e-05,-1.51783878821817,0.08,0.789,1
"Srsf11",3.57128256303825e-05,-1.70283019365509,0.08,0.789,1
"Atxn7l3b",3.57128256303825e-05,-1.08548292058385,0.08,0.789,1
"Chd3",3.57128256303825e-05,-1.52047375719919,0.08,0.789,1
"Celf1",3.57128256303825e-05,-1.72854497013967,0.12,0.737,1
"Map1b",3.60275331182506e-05,-1.23002106345924,0.2,1,1
"Luc7l2",4.23540240383597e-05,-1.41198531692813,0.24,0.947,1
"Nisch",4.31550573427137e-05,-1.14639178339835,0.12,0.895,1
"Raf1",4.43442070386715e-05,-3.49783580496061,0.04,0.632,1
"Ank3",4.72831875161538e-05,-0.976213004565921,0.16,0.895,1
"Dhx9",5.03024966939569e-05,-3.60512841828723,0.04,0.632,1
"Tsn",5.61667870043387e-05,-2.38559890149304,0.08,0.737,1
"Bclaf1",5.61667870043387e-05,-2.35603097221314,0.08,0.737,1
"Cdc42bpa",5.84655063388933e-05,-5.16871970806729,0,0.526,1
"Stx16",5.84655063388933e-05,-5.44721679370088,0,0.526,1
"Bex4",5.84655063388933e-05,-5.14903285286886,0,0.526,1
"Sms",5.84655063388933e-05,-6.10855806708356,0,0.526,1
"Runx1t1",5.84655063388933e-05,-6.49488266303514,0,0.526,1
"Zcchc11",5.84655063388933e-05,-5.30079331143127,0,0.526,1
"Cmpk1",5.84655063388933e-05,-5.4484378345428,0,0.526,1
"Hivep3",5.84655063388933e-05,-5.51321575582838,0,0.526,1
"Smim14",5.84655063388933e-05,-5.34341101757555,0,0.526,1
"Tnrc18",5.84655063388933e-05,-6.14204931241369,0,0.526,1
"Zfp638",5.84655063388933e-05,-5.81262817781614,0,0.526,1
"Uba2",5.84655063388933e-05,-5.54455616126297,0,0.526,1
"2410002F23Rik",5.84655063388933e-05,-5.2260499400908,0,0.526,1
"Ap3b2",5.84655063388933e-05,-5.3682277726144,0,0.526,1
"Rbm26",5.84655063388933e-05,-5.54505602698082,0,0.526,1
"Zfp266",5.84655063388933e-05,-5.69394687355278,0,0.526,1
"Rp9",5.84655063388933e-05,-5.62676252404902,0,0.526,1
"Senp6",5.84655063388933e-05,-5.36417574041051,0,0.526,1
"Rbm6",5.84655063388933e-05,-5.56740797070651,0,0.526,1
"Vamp2",5.84655063388933e-05,-5.59248985517829,0,0.526,1
"Cplx2",5.84655063388933e-05,-5.79760890172457,0,0.526,1
"Rhobtb3",5.84655063388933e-05,-5.38986766177085,0,0.526,1
"Arid4a",5.84655063388933e-05,-5.79730074993123,0,0.526,1
"Jkamp",5.84655063388933e-05,-5.6720035389948,0,0.526,1
"Trio",5.84655063388933e-05,-5.43344288488385,0,0.526,1
"Mtss1",5.84655063388933e-05,-5.75813144587331,0,0.526,1
"Slc38a1",5.84655063388933e-05,-5.54675359881619,0,0.526,1
"Slc38a2",5.84655063388933e-05,-6.0625896329385,0,0.526,1
"Epha3",5.84655063388933e-05,-5.80925992986632,0,0.526,1
"Luc7l",5.84655063388933e-05,-5.89612991847519,0,0.526,1
"Tubb4a",5.84655063388933e-05,-5.28813168101828,0,0.526,1
"Eif2s3y",5.84655063388933e-05,-5.87067135637645,0,0.526,1
"Akirin2",6.31114212712717e-05,-1.36106733850816,0.08,0.737,1
"C130071C03Rik",6.31114212712717e-05,-1.77524578190602,0.08,0.737,1
"Cadm4",6.45686841633013e-05,-3.25979685337775,0.04,0.632,1
"Nrep",6.60096176907839e-05,-1.77151405344302,0.2,0.947,1
"Meg3",6.70439059823067e-05,-6.51434027218507,0.04,0.579,1
"Cirbp",6.99797763967952e-05,-1.7395906375815,0.2,0.895,1
"Slc25a4",6.99797763967952e-05,-1.65237027155588,0.2,0.895,1
"Phf3",7.30637689316798e-05,-2.97950482210526,0.04,0.632,1
"Ptpra",7.30637689316798e-05,-2.68721470736838,0.04,0.632,1
"Smc1a",7.30637689316798e-05,-3.10794630028618,0.04,0.632,1
"Mir124-2hg",7.30637689316798e-05,-2.78669300749213,0.04,0.632,1
"Ttc14",7.30637689316798e-05,-2.68522692460687,0.04,0.632,1
"Clip3",7.30637689316798e-05,-2.80315056341443,0.04,0.632,1
"Gabbr1",7.30637689316798e-05,-2.93037217895548,0.04,0.632,1
"Fnbp1l",7.5783140213706e-05,-1.31467480065079,0.2,1,1
"Cyc1",7.95107280039462e-05,-1.5763458684827,0.08,0.737,1
"Luc7l3",8.12374197478517e-05,-1.7793461882556,0.16,0.895,1
"Rb1cc1",8.26085682639295e-05,-2.20510796223624,0.04,0.632,1
"Plxna2",8.26085682639295e-05,-1.32622487249282,0.04,0.632,1
"Ubap2l",8.26085682639295e-05,-1.49094828920183,0.04,0.632,1
"Rnf38",8.26085682639295e-05,-2.47408229159863,0.04,0.632,1
"Dock7",8.26085682639295e-05,-1.65174725807351,0.04,0.632,1
"Tcaf1",8.26085682639295e-05,-2.28150877932304,0.04,0.632,1
"Celf5",8.26085682639295e-05,-1.96321675847677,0.04,0.632,1
"Ddx6",8.26085682639295e-05,-2.309294405038,0.04,0.632,1
"Gpatch8",8.26085682639295e-05,-1.90512396723238,0.04,0.632,1
"Tanc2",8.26085682639295e-05,-2.41060263662396,0.04,0.632,1
"Uqcrfs1",8.26085682639295e-05,-2.44112349989154,0.04,0.632,1
"Cdh2",8.26085682639295e-05,-2.10956122926393,0.04,0.632,1
"Zfp397",8.26085682639295e-05,-1.76916515421713,0.04,0.632,1
"Nedd4l",8.26085682639295e-05,-2.37285069786763,0.04,0.632,1
"Kmt5b",8.26085682639295e-05,-1.65357185450071,0.04,0.632,1
"Actr1a",8.26085682639295e-05,-2.58313458691454,0.04,0.632,1
"Bex3",8.91487887032083e-05,-0.909782773324448,0.08,0.737,1
"Ilf2",9.04841954730915e-05,-1.2534506517938,0.2,0.947,1
"mt-Nd5",9.70011923000172e-05,-4.07449899899919,0.12,0.632,1
"Kmt2e",9.98832366390397e-05,-1.22789938976549,0.08,0.737,1
"Ube3a",9.98832366390397e-05,-1.50516544217149,0.08,0.737,1
"Ncor1",9.98832366390397e-05,-1.05841886304862,0.08,0.737,1
"Nnat",9.99623603862062e-05,-1.71802613039952,0.32,0.947,1
"mt-Nd4l",0.000105697333513635,-2.61087942855427,0.12,0.684,1
"Sox4",0.000123283996697114,-1.14507473296575,0.2,0.947,1
"Tnrc6b",0.000124845404792322,-1.6770262309942,0.12,0.737,1
"mt-Co1",0.000133037366420662,-1.4463101321493,0.6,0.947,1
"Eif1b",0.000145243100010081,-1.66839374513305,0.2,0.895,1
"Pou3f3",0.000149401458939409,-1.41170934133659,0.16,0.842,1
"1110004F10Rik",0.000153214126805055,-2.15261861792904,0.08,0.684,1
"Fxyd6",0.000153214126805055,-2.51494309101983,0.08,0.684,1
"Mn1",0.000159922751651619,-3.03789807152855,0.04,0.579,1
"Ubb",0.000163249772998035,-1.1860149231654,0.8,1,1
"Kif1a",0.000166622813693085,-5.98398556451622,0,0.474,1
"Pam",0.000166622813693085,-5.71224326954495,0,0.474,1
"Clasp1",0.000166622813693085,-5.76876905152156,0,0.474,1
"R3hdm1",0.000166622813693085,-5.30841724740549,0,0.474,1
"Igsf9",0.000166622813693085,-5.69463035694707,0,0.474,1
"Atf2",0.000166622813693085,-4.93548885001446,0,0.474,1
"C1qtnf4",0.000166622813693085,-6.04970677553708,0,0.474,1
"Macrod2",0.000166622813693085,-5.00798082131471,0,0.474,1
"Tbl1x",0.000166622813693085,-5.62253749229627,0,0.474,1
"Bex1",0.000166622813693085,-4.86479328169596,0,0.474,1
"Mageh1",0.000166622813693085,-5.42024699472846,0,0.474,1
"Bcl9",0.000166622813693085,-5.00404560129809,0,0.474,1
"Trim33",0.000166622813693085,-5.31314204231431,0,0.474,1
"Prkacb",0.000166622813693085,-5.06345800164055,0,0.474,1
"Zranb2",0.000166622813693085,-5.68684444220571,0,0.474,1
"Ttc4",0.000166622813693085,-4.87901492172591,0,0.474,1
"Nfyc",0.000166622813693085,-4.97685750225961,0,0.474,1
"Ctnnbip1",0.000166622813693085,-5.03787634869459,0,0.474,1
"Rere",0.000166622813693085,-4.98503235490804,0,0.474,1
"Magi2",0.000166622813693085,-5.03077354402219,0,0.474,1
"Kmt2c",0.000166622813693085,-5.43868786785461,0,0.474,1
"Gabra2",0.000166622813693085,-5.89024921249526,0,0.474,1
"Adgrl3",0.000166622813693085,-5.76060866906769,0,0.474,1
"Mrps17",0.000166622813693085,-5.29567829682379,0,0.474,1
"Pcyox1",0.000166622813693085,-5.10263182289016,0,0.474,1
"Slc6a1",0.000166622813693085,-6.28520629405215,0,0.474,1
"Atf7ip",0.000166622813693085,-5.94129906987949,0,0.474,1
"Lmtk3",0.000166622813693085,-5.65738341779558,0,0.474,1
"Ctr9",0.000166622813693085,-5.55025160939668,0,0.474,1
"Gde1",0.000166622813693085,-4.87729385696541,0,0.474,1
"Zranb1",0.000166622813693085,-5.13228866896224,0,0.474,1
"Atcay",0.000166622813693085,-5.22970808615605,0,0.474,1
"Mon2",0.000166622813693085,-5.28667924891959,0,0.474,1
"Efnb2",0.000166622813693085,-5.71155295229441,0,0.474,1
"Zfp821",0.000166622813693085,-5.15827904763486,0,0.474,1
"Banp",0.000166622813693085,-5.21009255693237,0,0.474,1
"Cul5",0.000166622813693085,-5.27171849539817,0,0.474,1
"Snap91",0.000166622813693085,-5.00476893217795,0,0.474,1
"Smg6",0.000166622813693085,-5.38896752594517,0,0.474,1
"Synrg",0.000166622813693085,-5.11485927926289,0,0.474,1
"Zfp652",0.000166622813693085,-4.9751321367724,0,0.474,1
"Rundc3a",0.000166622813693085,-5.34839930641226,0,0.474,1
"Cacng4",0.000166622813693085,-5.89739166719916,0,0.474,1
"Rbfox3",0.000166622813693085,-5.57233078339135,0,0.474,1
"Tbce",0.000166622813693085,-5.25227370463866,0,0.474,1
"Nol7",0.000166622813693085,-5.5040492024964,0,0.474,1
"Syne2",0.000166622813693085,-5.32455020088227,0,0.474,1
"Ylpm1",0.000166622813693085,-5.15869507385443,0,0.474,1
"Yy1",0.000166622813693085,-5.6854785425536,0,0.474,1
"Scrt1",0.000166622813693085,-5.03128368856725,0,0.474,1
"Brd1",0.000166622813693085,-5.52025467046146,0,0.474,1
"Rbfox1",0.000166622813693085,-5.45237261529395,0,0.474,1
"Fopnl",0.000166622813693085,-4.88772088110168,0,0.474,1
"Dgcr2",0.000166622813693085,-5.05516725124766,0,0.474,1
"Abcc5",0.000166622813693085,-5.79682831098052,0,0.474,1
"Kalrn",0.000166622813693085,-5.87837631176621,0,0.474,1
"Pde10a",0.000166622813693085,-5.60212907663281,0,0.474,1
"Csnk2b",0.000166622813693085,-4.849790020795,0,0.474,1
"Ankrd12",0.000166622813693085,-5.77858363745649,0,0.474,1
"Dlgap1",0.000166622813693085,-6.06714050793392,0,0.474,1
"Nrxn1",0.000166622813693085,-6.18387151307529,0,0.474,1
"Gramd1a",0.00018044317384111,-2.98218622146909,0.04,0.579,1
"Sobp",0.00018044317384111,-2.62830753711121,0.04,0.579,1
"Ina",0.00018044317384111,-2.69821335271559,0.04,0.579,1
"Dnajc5",0.000183429950839582,-2.67631334671692,0.08,0.632,1
"Rab3a",0.000183429950839582,-2.40454675817229,0.08,0.632,1
"Kif3a",0.000183429950839582,-2.51980086320183,0.08,0.632,1
"Prkar1a",0.000183429950839582,-2.507643604263,0.08,0.632,1
"Klhdc10",0.000184824699840842,-4.53770011885523,0.04,0.526,1
"C2cd5",0.000184824699840842,-4.57435700817908,0.04,0.526,1
"Rab11a",0.000184824699840842,-4.64362101516282,0.04,0.526,1
"Ank2",0.000186965289676658,-1.39549593047209,0.16,0.895,1
"Myef2",0.000191696278005261,-2.02389154450259,0.08,0.684,1
"Atp6v0d1",0.000194626317192643,-4.34885866369771,0.16,0.632,1
"Hnrnpu",0.00019680437317402,-1.61077492111701,0.2,0.895,1
"Khdrbs1",0.000196881823078475,-1.14999271852102,0.12,0.789,1
"Vapa",0.000196881823078475,-1.36887385860486,0.12,0.789,1
"mt-Cytb",0.000197564451878968,-1.53261841881184,0.56,0.947,1
"Prrc2b",0.000203420614376899,-2.51538959546397,0.04,0.579,1
"Tmem35a",0.000203420614376899,-2.93353469504015,0.04,0.579,1
"Srcin1",0.000203420614376899,-2.28660001276945,0.04,0.579,1
"Nono",0.000206917193330878,-1.03589824294671,0.16,0.895,1
"Tcf4",0.000208231654880306,-0.979757560534925,0.44,1,1
"Kif21b",0.000214183144707599,-1.13520457895034,0.08,0.684,1
"Polr1d",0.000214183144707599,-2.20226608157681,0.08,0.684,1
"Stmn4",0.000214183144707599,-2.34610117488143,0.08,0.684,1
"Fscn1",0.000218685668062638,-1.22937373177722,0.12,0.789,1
"Hes6",0.000229125810297006,-0.936600745966182,0.04,0.579,1
"Rtl8a",0.000229125810297006,-1.0094913970284,0.04,0.579,1
"Zfp512",0.000229125810297006,-1.61484424178582,0.04,0.579,1
"Sbno1",0.000229125810297006,-1.75400730976884,0.04,0.579,1
"Gpr85",0.000229125810297006,-1.70754120772049,0.04,0.579,1
