"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ddx50",5.77153890714662e-05,2.17245075665514,0.579,0.079,1,"1","Ddx50"
"Apc2",5.77367310238954e-05,3.12478922699372,0.474,0.026,1,"1","Apc2"
"Zfp821",5.77367310238954e-05,3.20701303969185,0.474,0.026,1,"1","Zfp821"
"Synrg",5.77367310238954e-05,3.17924159925265,0.474,0.026,1,"1","Synrg"
"Brd1",5.77367310238954e-05,2.83568249095503,0.474,0.026,1,"1","Brd1"
"Pde10a",5.77367310238954e-05,3.05257433349046,0.474,0.026,1,"1","Pde10a"
"Tubb2b",6.13191730389945e-05,1.5326699519689,0.947,0.553,1,"1","Tubb2b"
"Rspry1",6.34615774817201e-05,3.08001450918994,0.579,0.079,1,"1","Rspry1"
"Hist3h2a",6.34615774817201e-05,2.8369686747546,0.579,0.079,1,"1","Hist3h2a"
"Smc1a",6.35719205716723e-05,2.05748395176849,0.632,0.079,1,"1","Smc1a"
"Map9",6.43295558637816e-05,1.39481764739659,0.474,0.026,1,"1","Map9"
"Rere",6.43295558637816e-05,2.42735695258837,0.474,0.026,1,"1","Rere"
"Nelfa",6.43295558637816e-05,1.53810574976373,0.474,0.026,1,"1","Nelfa"
"Slc6a1",6.43295558637816e-05,2.67640797050307,0.474,0.026,1,"1","Slc6a1"
"Tbc1d9",6.43295558637816e-05,2.58191153691259,0.474,0.026,1,"1","Tbc1d9"
"Tbce",6.43295558637816e-05,1.88410481291492,0.474,0.026,1,"1","Tbce"
"Zfp608",6.43295558637816e-05,2.67709516584903,0.474,0.026,1,"1","Zfp608"
"Srrm2",6.633955427764e-05,1.41788925728837,1,0.342,1,"1","Srrm2"
"Stmn1",6.82862846822201e-05,1.07648327746809,1,0.632,1,"1","Stmn1"
"Nenf",6.94699536686506e-05,3.00805804003159,0.526,0.053,1,"1","Nenf"
"Ccdc174",6.94699536686506e-05,3.13213201297939,0.526,0.053,1,"1","Ccdc174"
"Slc38a2",6.94699536686506e-05,2.86255412982245,0.526,0.053,1,"1","Slc38a2"
"Cdh2",6.97048347480176e-05,1.57650851555451,0.632,0.079,1,"1","Cdh2"
"Kmt2e",7.0360263512785e-05,1.26750949863458,0.737,0.132,1,"1","Kmt2e"
"Ndufv1",7.40011888797581e-05,0.998920847869168,0.789,0.158,1,"1","Ndufv1"
"Pum1",7.43573131751358e-05,2.14607505957822,0.737,0.158,1,"1","Pum1"
"Zfp292",7.63946302032213e-05,1.30792363430793,0.632,0.079,1,"1","Zfp292"
"Ubb",7.68582128342447e-05,1.14948978262299,1,0.868,1,"1","Ubb"
"Gm1673",8.25751055741585e-05,1.36305312474955,0.842,0.237,1,"1","Gm1673"
"Satb2",8.35839635338026e-05,6.34044237042024,0.368,0,1,"1","Satb2"
"Brinp2",8.35839635338026e-05,5.72820117180325,0.368,0,1,"1","Brinp2"
"Cadm3",8.35839635338026e-05,5.7685622116136,0.368,0,1,"1","Cadm3"
"Gad2",8.35839635338026e-05,6.56589643569281,0.368,0,1,"1","Gad2"
"Dlx1",8.35839635338026e-05,6.93923937180883,0.368,0,1,"1","Dlx1"
"Casc4",8.35839635338026e-05,5.74842733053449,0.368,0,1,"1","Casc4"
"Atp9a",8.35839635338026e-05,5.2094945567505,0.368,0,1,"1","Atp9a"
"Gon4l",8.35839635338026e-05,5.71535461095224,0.368,0,1,"1","Gon4l"
"Sema6c",8.35839635338026e-05,5.96372615726283,0.368,0,1,"1","Sema6c"
"Foxj3",8.35839635338026e-05,5.15037284254983,0.368,0,1,"1","Foxj3"
"Ephb2",8.35839635338026e-05,5.52726374148155,0.368,0,1,"1","Ephb2"
"Rsbn1l",8.35839635338026e-05,5.59578788215643,0.368,0,1,"1","Rsbn1l"
"Vps50",8.35839635338026e-05,5.92156729870927,0.368,0,1,"1","Vps50"
"Mical3",8.35839635338026e-05,5.51138828444889,0.368,0,1,"1","Mical3"
"Zfp536",8.35839635338026e-05,6.27450348472681,0.368,0,1,"1","Zfp536"
"Shank1",8.35839635338026e-05,5.4645213072276,0.368,0,1,"1","Shank1"
"Sh3gl3",8.35839635338026e-05,5.30048281729486,0.368,0,1,"1","Sh3gl3"
"Sez6l2",8.35839635338026e-05,5.40757869576987,0.368,0,1,"1","Sez6l2"
"Syt1",8.35839635338026e-05,6.13408347463672,0.368,0,1,"1","Syt1"
"Camsap3",8.35839635338026e-05,5.15975781044763,0.368,0,1,"1","Camsap3"
"Wdr83",8.35839635338026e-05,5.28491259504692,0.368,0,1,"1","Wdr83"
"Cadps",8.35839635338026e-05,5.78524956756375,0.368,0,1,"1","Cadps"
"Chordc1",8.35839635338026e-05,5.1876519019255,0.368,0,1,"1","Chordc1"
"Mnt",8.35839635338026e-05,5.48949152170544,0.368,0,1,"1","Mnt"
"Ppp1r9b",8.35839635338026e-05,5.38382852462908,0.368,0,1,"1","Ppp1r9b"
"Dact1",8.35839635338026e-05,5.5138610874885,0.368,0,1,"1","Dact1"
"Lsamp",8.35839635338026e-05,6.32832545160097,0.368,0,1,"1","Lsamp"
"Arid1b",8.35839635338026e-05,5.70680135127369,0.368,0,1,"1","Arid1b"
"Cdc42ep3",8.35839635338026e-05,5.48405196148976,0.368,0,1,"1","Cdc42ep3"
"Tsn",9.52761066462707e-05,1.86132814053527,0.737,0.158,1,"1","Tsn"
"Mir124-2hg",9.67505598458309e-05,2.12728340046661,0.632,0.105,1,"1","Mir124-2hg"
"Slc25a4",9.76091722117924e-05,1.33684564862278,0.895,0.289,1,"1","Slc25a4"
"Nrxn3",9.87351001381507e-05,5.11097267608659,0.421,0.026,1,"1","Nrxn3"
"Cpe",9.91423299980941e-05,3.55407812965554,0.526,0.079,1,"1","Cpe"
"Rnps1",0.000102431730431882,1.30040935469628,0.789,0.158,1,"1","Rnps1"
"Fxyd6",0.000102640641528028,2.28381739173746,0.684,0.158,1,"1","Fxyd6"
"Mrpl41",0.000105649207118477,2.24460765145577,0.632,0.105,1,"1","Mrpl41"
"Tmsb10",0.000109231579708789,1.26537920553496,1,0.684,1,"1","Tmsb10"
"Dhx30",0.000111036136215091,2.08312002657356,0.579,0.079,1,"1","Dhx30"
"Bex2",0.000112384555833625,1.43746494488953,0.842,0.237,1,"1","Bex2"
"Dpysl2",0.000113327298152591,1.55108064076175,0.895,0.289,1,"1","Dpysl2"
"Elmod1",0.000113691443761528,2.44184696714424,0.526,0.053,1,"1","Elmod1"
"Apc",0.000113691443761528,1.81385389769636,0.526,0.053,1,"1","Apc"
"Kif1a",0.000120072466017275,4.0936448934745,0.474,0.053,1,"1","Kif1a"
"Bclaf1",0.000121668320965267,1.83386182988795,0.737,0.158,1,"1","Bclaf1"
"Ilf2",0.000122054020872421,0.991556583187241,0.947,0.263,1,"1","Ilf2"
"Cyc1",0.000131901489153431,1.35510770924357,0.737,0.158,1,"1","Cyc1"
"Cnr1",0.000133287469125733,2.05157353904397,0.579,0.079,1,"1","Cnr1"
"Ube2k",0.000133287469125733,2.11349258710553,0.579,0.079,1,"1","Ube2k"
"Gng2",0.000135761989401702,1.22145187912408,0.895,0.237,1,"1","Gng2"
"Mxd4",0.000136916968649291,4.23827685991898,0.421,0.026,1,"1","Mxd4"
"Dda1",0.000136916968649291,3.97106260043931,0.421,0.026,1,"1","Dda1"
"Tmem57",0.000136934726747536,0.934245607330346,0.737,0.132,1,"1","Tmem57"
"Gabbr1",0.000137206253070206,2.06440958098807,0.632,0.105,1,"1","Gabbr1"
"Arnt2",0.000137933282007626,1.42935177348484,0.526,0.053,1,"1","Arnt2"
"Vps41",0.000137933282007626,1.80148202220913,0.526,0.053,1,"1","Vps41"
"Marf1",0.000137933282007626,1.85248797108321,0.526,0.053,1,"1","Marf1"
"Eif3d",0.000139780338066445,1.41770292384125,0.684,0.132,1,"1","Eif3d"
"Dclk1",0.000142941773430214,1.30496545296914,0.737,0.158,1,"1","Dclk1"
"Yy1",0.000146559247230943,3.75743303653997,0.474,0.053,1,"1","Yy1"
"Pabpn1",0.000148123093104292,1.43706673095912,0.789,0.184,1,"1","Pabpn1"
"Tmem131l",0.000148561186902009,0.812804709898843,0.737,0.132,1,"1","Tmem131l"
"Klc1",0.000152535097190176,1.12760270329283,0.789,0.158,1,"1","Klc1"
"Gripap1",0.000159692969645992,2.04112113703641,0.579,0.079,1,"1","Gripap1"
"Nfyc",0.000161779879069117,3.21932000115685,0.474,0.053,1,"1","Nfyc"
"Celf5",0.000162968749725737,1.26368007434138,0.632,0.105,1,"1","Celf5"
"Actr1a",0.000162968749725737,1.87650196812915,0.632,0.105,1,"1","Actr1a"
"Sbk1",0.000163453598780918,2.3448013311001,0.579,0.105,1,"1","Sbk1"
"1110004F10Rik",0.000167756071542904,1.74380267250536,0.684,0.158,1,"1","1110004F10Rik"
"Rtl8b",0.000169686464798472,3.66668200238247,0.421,0.026,1,"1","Rtl8b"
"Peg3",0.000169686464798472,3.95807243127438,0.421,0.026,1,"1","Peg3"
"Celf2",0.000172046668927743,1.56998895833066,1,0.368,1,"1","Celf2"
"Psmc3",0.000178478900161056,2.74498142107755,0.474,0.053,1,"1","Psmc3"
"Dlgap1",0.000178478900161056,3.27594997336895,0.474,0.053,1,"1","Dlgap1"
"Miat",0.00018151475881468,0.875603654141829,0.737,0.158,1,"1","Miat"
"Taf15",0.000186771170085874,0.132672379056716,0.789,0.184,1,"1","Taf15"
"Zc2hc1a",0.000188713293271621,3.41949482811867,0.421,0.026,1,"1","Zc2hc1a"
"Zfp397",0.000193233523773866,1.39356300191367,0.632,0.105,1,"1","Zfp397"
"Pam",0.000196788846689869,2.84083553476853,0.474,0.053,1,"1","Pam"
"Cadm1",0.000196788846689869,3.32174851090044,0.474,0.053,1,"1","Cadm1"
"Cul5",0.000196788846689869,2.5011342400023,0.474,0.053,1,"1","Cul5"
"Maged1",0.000203359444571688,1.56025544508013,0.842,0.316,1,"1","Maged1"
"Add2",0.000208679011577138,1.86636136381993,0.579,0.079,1,"1","Add2"
"Mafb",0.00020973209515624,3.91448528763066,0.421,0.026,1,"1","Mafb"
"Cse1l",0.00020973209515624,2.87916244686925,0.421,0.026,1,"1","Cse1l"
"Lrrc7",0.00020973209515624,3.17018644293758,0.421,0.026,1,"1","Lrrc7"
"Eid2",0.00020973209515624,3.02765412970725,0.421,0.026,1,"1","Eid2"
"Socs2",0.00020973209515624,3.24204631950342,0.421,0.026,1,"1","Socs2"
"Nrp1",0.00020973209515624,3.08285913125004,0.421,0.026,1,"1","Nrp1"
"Usp34",0.00020973209515624,3.19169976840579,0.421,0.026,1,"1","Usp34"
"Ormdl3",0.00020973209515624,3.14763596338534,0.421,0.026,1,"1","Ormdl3"
"Rfng",0.00020973209515624,2.60626983177811,0.421,0.026,1,"1","Rfng"
"Rgmb",0.00020973209515624,3.06575209252422,0.421,0.026,1,"1","Rgmb"
"Smad4",0.00020973209515624,2.99592469904829,0.421,0.026,1,"1","Smad4"
"Cpsf7",0.00020973209515624,2.88410004153447,0.421,0.026,1,"1","Cpsf7"
"Evl",0.000211478531299886,1.02264137715797,0.842,0.263,1,"1","Evl"
"Fez1",0.000212455573513476,1.42579299035892,0.737,0.158,1,"1","Fez1"
"Tnrc6b",0.000212455573513476,1.27011008627946,0.737,0.158,1,"1","Tnrc6b"
"Prkacb",0.000216853001474155,2.21153449931031,0.474,0.053,1,"1","Prkacb"
"Ubr4",0.000216853001474155,2.01937957350881,0.474,0.053,1,"1","Ubr4"
"Smim14",0.000228362728873955,2.65227572919029,0.526,0.079,1,"1","Smim14"
"Paxx",0.000232934908275721,2.20257380271398,0.421,0.026,1,"1","Paxx"
"Mfap1a",0.000232934908275721,2.86937375858218,0.421,0.026,1,"1","Mfap1a"
"Sppl2a",0.000232934908275721,2.27898126507713,0.421,0.026,1,"1","Sppl2a"
"Bhlhe22",0.000232934908275721,2.24890228291593,0.421,0.026,1,"1","Bhlhe22"
"Mapre3",0.000232934908275721,2.71384927753156,0.421,0.026,1,"1","Mapre3"
"Mapk10",0.000232934908275721,2.27639168690366,0.421,0.026,1,"1","Mapk10"
"Trim24",0.000232934908275721,2.80409037196231,0.421,0.026,1,"1","Trim24"
"Plekha5",0.000232934908275721,2.37234240560167,0.421,0.026,1,"1","Plekha5"
"Gabrb3",0.000232934908275721,2.61413283964157,0.421,0.026,1,"1","Gabrb3"
"Apbb1",0.000232934908275721,2.25757237365732,0.421,0.026,1,"1","Apbb1"
"Inpp5f",0.000232934908275721,2.32647755271613,0.421,0.026,1,"1","Inpp5f"
"Tacc2",0.000232934908275721,2.28874295550522,0.421,0.026,1,"1","Tacc2"
"Mcf2l",0.000232934908275721,2.445782675464,0.421,0.026,1,"1","Mcf2l"
"Rnf214",0.000232934908275721,1.25396619680543,0.421,0.026,1,"1","Rnf214"
"Ttc19",0.000232934908275721,3.13970462064463,0.421,0.026,1,"1","Ttc19"
"Rbmx",0.00023390498078549,1.64879189898097,0.737,0.184,1,"1","Rbmx"
"Apba2",0.000238826155182877,3.00146794569425,0.474,0.053,1,"1","Apba2"
"Mprip",0.000238826155182877,2.89228137122265,0.474,0.053,1,"1","Mprip"
"Pja2",0.000238826155182877,2.33269303865257,0.474,0.053,1,"1","Pja2"
"Nisch",0.000246052029754721,0.608688352258518,0.895,0.211,1,"1","Nisch"
"Ctnna2",0.000248832688079943,0.284643286924626,0.579,0.079,1,"1","Ctnna2"
"Nav2",0.000248832688079943,1.15271455772499,0.579,0.079,1,"1","Nav2"
"Eif2s3y",0.00024991678360724,2.4077511733098,0.526,0.079,1,"1","Eif2s3y"
"Smg6",0.00026287541136794,2.41656203263608,0.474,0.053,1,"1","Smg6"
"Ylpm1",0.00026287541136794,2.28728733907801,0.474,0.053,1,"1","Ylpm1"
"Sms",0.000273367880811915,2.35256582021813,0.526,0.079,1,"1","Sms"
"Mn1",0.000274160700970558,2.14856781762408,0.579,0.105,1,"1","Mn1"
"Gng3",0.000274160700970558,1.68047062516255,0.579,0.105,1,"1","Gng3"
"Clasp1",0.000289181036953273,2.95918209925226,0.474,0.053,1,"1","Clasp1"
"Abcc5",0.000289181036953273,2.52807298203681,0.474,0.053,1,"1","Abcc5"
"Ttc14",0.000293589922862115,1.45124198046237,0.632,0.105,1,"1","Ttc14"
"Amer2",0.00029886945257931,1.71852656620958,0.526,0.079,1,"1","Amer2"
"Rtn3",0.000305373106479525,1.61012124164405,0.789,0.237,1,"1","Rtn3"
"Ncoa2",0.000310008664356923,5.01966591414898,0.316,0,1,"1","Ncoa2"
"Stau2",0.000310008664356923,5.37386845808234,0.316,0,1,"1","Stau2"
"Tmem198",0.000310008664356923,4.82250276204223,0.316,0,1,"1","Tmem198"
"Bok",0.000310008664356923,5.12016534982435,0.316,0,1,"1","Bok"
"Dnm3",0.000310008664356923,5.20527560695688,0.316,0,1,"1","Dnm3"
"Epb41l1",0.000310008664356923,5.09357563469259,0.316,0,1,"1","Epb41l1"
"Uckl1",0.000310008664356923,5.06727479999513,0.316,0,1,"1","Uckl1"
"Zcchc12",0.000310008664356923,4.83389829904945,0.316,0,1,"1","Zcchc12"
"Sept6",0.000310008664356923,5.11557371182757,0.316,0,1,"1","Sept6"
"Smarca1",0.000310008664356923,5.41828257251692,0.316,0,1,"1","Smarca1"
"Hs6st2",0.000310008664356923,5.99696789154598,0.316,0,1,"1","Hs6st2"
"Pnck",0.000310008664356923,5.32186459736222,0.316,0,1,"1","Pnck"
"Serpini1",0.000310008664356923,5.6797792108782,0.316,0,1,"1","Serpini1"
"AI504432",0.000310008664356923,5.24200625179751,0.316,0,1,"1","AI504432"
"Wdr47",0.000310008664356923,5.49834081860766,0.316,0,1,"1","Wdr47"
"Plaa",0.000310008664356923,5.83429557931168,0.316,0,1,"1","Plaa"
"Bend5",0.000310008664356923,5.39703954697532,0.316,0,1,"1","Bend5"
"Htt",0.000310008664356923,5.22212045652412,0.316,0,1,"1","Htt"
"Taok3",0.000310008664356923,5.15495195843141,0.316,0,1,"1","Taok3"
"Nsun5",0.000310008664356923,5.16740772557925,0.316,0,1,"1","Nsun5"
"Prkar1b",0.000310008664356923,5.35509038820904,0.316,0,1,"1","Prkar1b"
"Dlx6os1",0.000310008664356923,6.24089807124059,0.316,0,1,"1","Dlx6os1"
"D630045J12Rik",0.000310008664356923,5.95568429056974,0.316,0,1,"1","D630045J12Rik"
"Mturn",0.000310008664356923,5.11551000108554,0.316,0,1,"1","Mturn"
"Exoc6b",0.000310008664356923,5.15662655563006,0.316,0,1,"1","Exoc6b"
"Nova2",0.000310008664356923,5.54739723743332,0.316,0,1,"1","Nova2"
"Vstm2b",0.000310008664356923,5.71586106873187,0.316,0,1,"1","Vstm2b"
"Gm38393",0.000310008664356923,5.00205380252891,0.316,0,1,"1","Gm38393"
"A230057D06Rik",0.000310008664356923,6.25186727510299,0.316,0,1,"1","A230057D06Rik"
"St8sia2",0.000310008664356923,5.32448327774634,0.316,0,1,"1","St8sia2"
"Vps33b",0.000310008664356923,5.31454699439174,0.316,0,1,"1","Vps33b"
"Pgm2l1",0.000310008664356923,5.36818335025145,0.316,0,1,"1","Pgm2l1"
"Rufy2",0.000310008664356923,5.11935208985139,0.316,0,1,"1","Rufy2"
"Aldh1l2",0.000310008664356923,5.17222510535676,0.316,0,1,"1","Aldh1l2"
"Rab3ip",0.000310008664356923,5.06191366565492,0.316,0,1,"1","Rab3ip"
"Srgap1",0.000310008664356923,5.10556168972167,0.316,0,1,"1","Srgap1"
"B4galnt1",0.000310008664356923,5.44307290063406,0.316,0,1,"1","B4galnt1"
"Bloc1s1",0.000310008664356923,4.90052355584938,0.316,0,1,"1","Bloc1s1"
"Smim18",0.000310008664356923,4.97001412300943,0.316,0,1,"1","Smim18"
"Ints10",0.000310008664356923,5.06166094944182,0.316,0,1,"1","Ints10"
"Cbfa2t3",0.000310008664356923,5.91713904628257,0.316,0,1,"1","Cbfa2t3"
"Vps9d1",0.000310008664356923,5.46630871943746,0.316,0,1,"1","Vps9d1"
"Chmp7",0.000310008664356923,5.69839210917498,0.316,0,1,"1","Chmp7"
"Serp2",0.000310008664356923,5.08363281935817,0.316,0,1,"1","Serp2"
"Slitrk1",0.000310008664356923,5.6145306039148,0.316,0,1,"1","Slitrk1"
"Msantd2",0.000310008664356923,5.60715495146106,0.316,0,1,"1","Msantd2"
"Scaper",0.000310008664356923,5.20557036520036,0.316,0,1,"1","Scaper"
"Pygo1",0.000310008664356923,4.86757504442493,0.316,0,1,"1","Pygo1"
"Snrk",0.000310008664356923,5.1066804066371,0.316,0,1,"1","Snrk"
"Nacad",0.000310008664356923,5.13460812177353,0.316,0,1,"1","Nacad"
"Sertad2",0.000310008664356923,5.19034645896897,0.316,0,1,"1","Sertad2"
"Acsl6",0.000310008664356923,5.25571834097507,0.316,0,1,"1","Acsl6"
"Mfap3",0.000310008664356923,5.10028354643669,0.316,0,1,"1","Mfap3"
"Idnk",0.000310008664356923,5.37388430765314,0.316,0,1,"1","Idnk"
"Rnf113a2",0.000310008664356923,4.73261025376025,0.316,0,1,"1","Rnf113a2"
"Scube1",0.000310008664356923,5.76357308174661,0.316,0,1,"1","Scube1"
"Wrb",0.000310008664356923,4.93640300158866,0.316,0,1,"1","Wrb"
"Prdm15",0.000310008664356923,5.29000735553002,0.316,0,1,"1","Prdm15"
"Agpat4",0.000310008664356923,5.55689296580211,0.316,0,1,"1","Agpat4"
"Tbc1d24",0.000310008664356923,5.6006175745325,0.316,0,1,"1","Tbc1d24"
"Zbtb12",0.000310008664356923,5.29733021992681,0.316,0,1,"1","Zbtb12"
"Enpp5",0.000310008664356923,5.25614944428314,0.316,0,1,"1","Enpp5"
"Mtcl1",0.000310008664356923,5.15783145272761,0.316,0,1,"1","Mtcl1"
"Asxl3",0.000310008664356923,5.10605092927049,0.316,0,1,"1","Asxl3"
"Snx32",0.000310008664356923,5.29486808239436,0.316,0,1,"1","Snx32"
"Tmem2",0.000310008664356923,5.8004468008076,0.316,0,1,"1","Tmem2"
"Efnb2",0.000317937359802777,3.01344574171939,0.474,0.053,1,"1","Efnb2"
"Nedd4l",0.000318794021542307,1.47268711767008,0.632,0.105,1,"1","Nedd4l"
"Magoh",0.000319527071426953,1.32610655331987,0.632,0.132,1,"1","Magoh"
"Clk1",0.000326586076352633,1.97160835395449,0.526,0.079,1,"1","Clk1"
"Rp9",0.000326586076352633,2.27146653302198,0.526,0.079,1,"1","Rp9"
"Tspan13",0.000326586076352633,2.32418491228129,0.526,0.079,1,"1","Tspan13"
"Enah",0.000349109275423573,1.26715065188155,0.789,0.211,1,"1","Enah"
"Dmtf1",0.00034935371496432,2.38636885716991,0.474,0.053,1,"1","Dmtf1"
"Nagk",0.00034935371496432,2.5940712732773,0.474,0.053,1,"1","Nagk"
"Tcf25",0.000349496648188122,0.938101607238973,0.895,0.237,1,"1","Tcf25"
"Zfp512",0.000352906741667302,1.45449247373153,0.579,0.105,1,"1","Zfp512"
"Gls",0.000356694172979763,1.52598001187862,0.526,0.079,1,"1","Gls"
"Mrpl11",0.000356694172979763,2.20122594387972,0.526,0.079,1,"1","Mrpl11"
"Tecr",0.000357685387432793,1.5212884342708,0.842,0.316,1,"1","Tecr"
"Vapa",0.000375448640810626,1.07140921980597,0.789,0.211,1,"1","Vapa"
"Fabp5",0.000378674884249921,1.0700812541903,0.947,0.395,1,"1","Fabp5"
"Hnrnph3",0.000379225436912343,1.48851328612098,0.789,0.237,1,"1","Hnrnph3"
"Lcorl",0.0003918831418149,3.49328671028538,0.368,0.026,1,"1","Lcorl"
"AI480526",0.0003918831418149,4.3982844014645,0.368,0.026,1,"1","AI480526"
"Rrp1",0.000403636576944772,1.21381480768578,0.789,0.211,1,"1","Rrp1"
"Macf1",0.00040598926529227,1.68906650259471,0.632,0.132,1,"1","Macf1"
"Kif3a",0.00040598926529227,1.49435371836303,0.632,0.132,1,"1","Kif3a"
"Psmd3",0.000407092865088916,1.55025511751437,0.579,0.132,1,"1","Psmd3"
"Lancl1",0.000420539096485384,3.14888993321345,0.474,0.079,1,"1","Lancl1"
"Amn1",0.000421084928987205,2.06125080491417,0.474,0.053,1,"1","Amn1"
"Crebzf",0.000421084928987205,1.15351817292702,0.474,0.053,1,"1","Crebzf"
"Os9",0.000421084928987205,1.8976844497294,0.474,0.053,1,"1","Os9"
"Hecw1",0.000421084928987205,2.00331308710123,0.474,0.053,1,"1","Hecw1"
"Nol4",0.000421084928987205,2.23839950452305,0.474,0.053,1,"1","Nol4"
"Hdac2",0.000431254134809039,0.898025126896572,0.842,0.263,1,"1","Hdac2"
"Sox1",0.000435693270759427,3.95812380163763,0.368,0.026,1,"1","Sox1"
"Abhd10",0.000435693270759427,3.73102129858785,0.368,0.026,1,"1","Abhd10"
"Nedd4",0.000449646210153875,1.72394717956939,0.737,0.237,1,"1","Nedd4"
"Ctnnbip1",0.000461902722452786,1.08787549611445,0.474,0.053,1,"1","Ctnnbip1"
"Fbxo21",0.000461902722452786,1.79134752533618,0.474,0.053,1,"1","Fbxo21"
"Atp2a2",0.000461902722452786,1.32156677322311,0.474,0.053,1,"1","Atp2a2"
"Lmtk3",0.000461902722452786,2.12642762525655,0.474,0.053,1,"1","Lmtk3"
"Vezt",0.000461902722452786,1.77042833873754,0.474,0.053,1,"1","Vezt"
"Rnf182",0.000461902722452786,1.47904160959125,0.474,0.053,1,"1","Rnf182"
"Rasa1",0.000461902722452786,1.85542818818798,0.474,0.053,1,"1","Rasa1"
"Dgcr6",0.000461902722452786,1.89839632874247,0.474,0.053,1,"1","Dgcr6"
"Golgb1",0.000461902722452786,0.979353688764873,0.474,0.053,1,"1","Golgb1"
"Stx16",0.000463324790077776,1.63014052788224,0.526,0.079,1,"1","Stx16"
"Trp53i11",0.000464234527200211,0.611716601823341,0.684,0.132,1,"1","Trp53i11"
"Ccdc88a",0.000470834975609073,0.574514909513509,0.947,0.263,1,"1","Ccdc88a"
"Cand1",0.000484042225832035,3.42992973699155,0.368,0.026,1,"1","Cand1"
"Tmem181a",0.000484042225832035,4.09968398813605,0.368,0.026,1,"1","Tmem181a"
"Spaca6",0.000484042225832035,3.76007408797991,0.368,0.026,1,"1","Spaca6"
"Usf2",0.000491047575626153,1.45246577951633,0.579,0.105,1,"1","Usf2"
"Kcnq1ot1",0.000500098848807099,1.65820991505537,0.684,0.158,1,"1","Kcnq1ot1"
"Hist3h2ba",0.000513188624977519,1.84228370303108,0.684,0.211,1,"1","Hist3h2ba"
"Vcp",0.000528372832164518,0.966736264340162,0.737,0.211,1,"1","Vcp"
"Laptm4a",0.000528372832164518,1.64124405070735,0.737,0.211,1,"1","Laptm4a"
"Pantr1",0.00053222422067834,1.36543815303152,0.737,0.184,1,"1","Pantr1"
"Ythdf1",0.000537358343472533,3.45817995314755,0.368,0.026,1,"1","Ythdf1"
"Dtx1",0.000537358343472533,3.98394358386488,0.368,0.026,1,"1","Dtx1"
"Smad1",0.000537358343472533,3.73607912095098,0.368,0.026,1,"1","Smad1"
"Srsf11",0.000540455844171182,1.0015135089388,0.789,0.237,1,"1","Srsf11"
"Cacng4",0.000549073674723865,2.69882239144182,0.474,0.079,1,"1","Cacng4"
"Add1",0.00055020581323483,1.30547076081985,0.526,0.079,1,"1","Add1"
"Ube3a",0.000567614122673351,1.23094525354844,0.737,0.211,1,"1","Ube3a"
"Afdn",0.000580967796641107,1.08666506942456,0.684,0.158,1,"1","Afdn"
"Cic",0.000596105764575691,3.62329444922063,0.368,0.026,1,"1","Cic"
"Cnot2",0.000596105764575691,3.71828781271121,0.368,0.026,1,"1","Cnot2"
"Mtif2",0.000596105764575691,3.86652873608528,0.368,0.026,1,"1","Mtif2"
"Bex4",0.00059912764055351,1.47751852955567,0.526,0.079,1,"1","Bex4"
"Agap3",0.00059912764055351,1.30566778543524,0.526,0.079,1,"1","Agap3"
"Snap47",0.000599483175306629,2.6321234362867,0.474,0.079,1,"1","Snap47"
"Ndufc1",0.00060016563258454,1.15198988064102,0.632,0.132,1,"1","Ndufc1"
"Uqcrfs1",0.00060016563258454,1.31801803438462,0.632,0.132,1,"1","Uqcrfs1"
"Rab12",0.000626134898454365,1.70482497376634,0.579,0.105,1,"1","Rab12"
"Snrpn",0.00065417321400703,2.39531843431199,0.474,0.079,1,"1","Snrpn"
"Taok1",0.00065417321400703,2.13924031795531,0.474,0.079,1,"1","Taok1"
"Csnk2b",0.00065417321400703,2.49971787190869,0.474,0.079,1,"1","Csnk2b"
"Trmt1l",0.000660786948386254,2.99626698907756,0.368,0.026,1,"1","Trmt1l"
"Map7d1",0.000660786948386254,2.96202424979745,0.368,0.026,1,"1","Map7d1"
"Larp4",0.000660786948386254,3.69601740194398,0.368,0.026,1,"1","Larp4"
"Ywhag",0.000678357789604473,1.65762749792726,0.579,0.105,1,"1","Ywhag"
"Ube2d1",0.000678357789604473,1.06938361693633,0.579,0.105,1,"1","Ube2d1"
"Hnrnpc",0.000709244898878281,1.35113866397276,0.684,0.184,1,"1","Hnrnpc"
"Zc3h13",0.000709344309120132,1.47823626864643,0.526,0.079,1,"1","Zc3h13"
"Srpk2",0.000709433838283382,2.17979449652352,0.579,0.132,1,"1","Srpk2"
"Tnrc6c",0.000713233634291087,0.492746410032963,0.842,0.211,1,"1","Tnrc6c"
"Tmod2",0.000715728918591305,2.15408171079727,0.421,0.053,1,"1","Tmod2"
"9530068E07Rik",0.000715728918591305,1.56067565362179,0.421,0.053,1,"1","9530068E07Rik"
"Wdr45b",0.000715728918591305,1.3151152754595,0.421,0.053,1,"1","Wdr45b"
"Mapre2",0.000715728918591305,2.95880218311682,0.421,0.053,1,"1","Mapre2"
"Ccl27a",0.000731945316061139,2.88670272706906,0.368,0.026,1,"1","Ccl27a"
"Nav3",0.000731945316061139,2.61006671119696,0.368,0.026,1,"1","Nav3"
