"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Nyap1",1.67766096757994e-07,3.98139197780561,0.684,0.026,0.00520964060262599,"1","Nyap1"
"Smarca2",1.75994608990382e-07,3.63983666336898,0.737,0.053,0.00546516059297832,"1","Smarca2"
"Bzw2",1.8534683386003e-07,1.39792601438958,0.947,0.158,0.00575557523185551,"1","Bzw2"
"Tmem132a",1.89345105355368e-07,3.98935965523302,0.684,0.026,0.00587973355660023,"1","Tmem132a"
"Celf3",2.13595739549115e-07,3.59545323780582,0.684,0.026,0.00663278850021867,"1","Celf3"
"Igfbpl1",2.18315319034796e-07,2.65988041134942,0.947,0.237,0.00677934560198751,"1","Igfbpl1"
"mt-Atp6",2.59933314021563e-07,2.14866861449314,0.947,0.658,0.00807170920031158,"1","mt-Atp6"
"Cdk5r1",2.70254210444071e-07,2.95122347126892,0.789,0.079,0.00839220399691972,"1","Cdk5r1"
"Nrep",2.77614563861698e-07,2.24503200713198,0.947,0.158,0.00862076505159731,"1","Nrep"
"Epc2",2.79907241260469e-07,4.59758385319258,0.632,0.026,0.00869195956286133,"1","Epc2"
"Cep170",2.84277656091394e-07,2.30696741942192,0.842,0.105,0.00882767405460607,"1","Cep170"
"Fam57b",2.99319399450837e-07,6.48824686686534,0.579,0,0.00929476531114684,"1","Fam57b"
"Npdc1",3.36031796936356e-07,3.17208007240942,0.789,0.079,0.0104347953902646,"1","Npdc1"
"Dlgap4",3.50837176649094e-07,2.59232644179584,0.842,0.105,0.0108945468464843,"1","Dlgap4"
"Ttc3",5.23597675047951e-07,2.17692833067891,0.947,0.342,0.016259278603264,"1","Ttc3"
"Fnbp1l",5.25248657405963e-07,1.78306150907541,1,0.184,0.0163105465584274,"1","Fnbp1l"
"Dcx",5.72421527219561e-07,2.14157466738671,0.947,0.184,0.017775405684749,"1","Dcx"
"Myh10",5.78394497433223e-07,4.62440210796107,0.632,0.026,0.0179608843287939,"1","Myh10"
"Soga3",6.39269981137431e-07,2.57735698773749,0.789,0.079,0.0198512507242607,"1","Soga3"
"Atp2b1",6.63978776955037e-07,3.34853614081233,0.684,0.053,0.0206185329607848,"1","Atp2b1"
"Map1b",6.73995935714799e-07,1.57308235856488,1,0.289,0.0209295957917517,"1","Map1b"
"mt-Nd2",6.73995935714799e-07,2.49830068935633,0.947,0.316,0.0209295957917517,"1","mt-Nd2"
"Dbn1",6.75611655483093e-07,1.85856024349598,0.947,0.158,0.0209797687377165,"1","Dbn1"
"Chd3",7.11091918920914e-07,1.97396514784815,0.789,0.079,0.0220815373582512,"1","Chd3"
"Srrm4",7.33686536722851e-07,3.8004837073916,0.632,0.026,0.0227831680248547,"1","Srrm4"
"Grin2b",7.33686536722851e-07,3.87815053256459,0.632,0.026,0.0227831680248547,"1","Grin2b"
"Zcchc7",8.25694857397732e-07,3.84396019727561,0.632,0.026,0.0256403024067718,"1","Zcchc7"
"Cers4",8.25694857397732e-07,3.62641155757178,0.632,0.026,0.0256403024067718,"1","Cers4"
"Gdpd1",9.2876514604801e-07,3.39932911660314,0.632,0.026,0.0288409440802288,"1","Gdpd1"
"Hnrnpul1",1.04416612070838e-06,2.22124276923163,0.632,0.026,0.0324244905463574,"1","Hnrnpul1"
"Sptan1",1.08157530561269e-06,1.87115990244331,0.789,0.079,0.0335861579651909,"1","Sptan1"
"Phf20l1",1.08537262942401e-06,1.59223562647866,0.895,0.132,0.0337040762615038,"1","Phf20l1"
"Tenm4",1.16001716990681e-06,2.55854011385423,0.684,0.053,0.0360220131771162,"1","Tenm4"
"mt-Nd3",1.20315554623802e-06,2.16194467736033,0.895,0.184,0.0373615891773293,"1","mt-Nd3"
"Runx1t1",1.3048243242759e-06,7.098953986704,0.526,0,0.0405187097417395,"1","Runx1t1"
"Hivep3",1.3048243242759e-06,6.11728707949725,0.526,0,0.0405187097417395,"1","Hivep3"
"Uba2",1.3048243242759e-06,6.14862748493183,0.526,0,0.0405187097417395,"1","Uba2"
"Ap3b2",1.3048243242759e-06,5.97229909628326,0.526,0,0.0405187097417395,"1","Ap3b2"
"Cplx2",1.3048243242759e-06,6.40168022539344,0.526,0,0.0405187097417395,"1","Cplx2"
"Tubb4a",1.3048243242759e-06,5.89220300468714,0.526,0,0.0405187097417395,"1","Tubb4a"
"Podxl2",1.33862993189717e-06,1.85288691459001,0.842,0.132,0.0415684752752028,"1","Podxl2"
"Meg3",1.34431899647294e-06,7.11841159585393,0.579,0.026,0.0417451377974742,"1","Meg3"
"Pgrmc1",1.46860924705007e-06,2.0815337165716,0.895,0.158,0.0456047229486457,"1","Pgrmc1"
"Zfp57",1.47672061178316e-06,2.09417235926575,0.842,0.132,0.0458566051577024,"1","Zfp57"
"Epha5",1.59816226714467e-06,1.9506553178451,0.895,0.184,0.0496277328816434,"1","Epha5"
"Pnn",1.60052268933513e-06,2.39722475921216,0.842,0.158,0.0497010310719238,"1","Pnn"
"Tuba1a",1.72070734069249e-06,1.72674384184411,1,0.632,0.0534331250505238,"1","Tuba1a"
"Khdrbs1",2.01497200606698e-06,1.69708973058293,0.789,0.105,0.0625709257043979,"1","Khdrbs1"
"Kif5c",2.17893586513551e-06,1.79322953924515,0.842,0.132,0.067662495420053,"1","Kif5c"
"Klhl7",2.2581860609341e-06,2.39657838035847,0.737,0.079,0.0701234517501866,"1","Klhl7"
"Marcksl1",2.62340478633463e-06,1.95373006978746,0.947,0.395,0.0814645888300494,"1","Marcksl1"
"Rbm39",2.83775909550079e-06,1.706946745506,1,0.289,0.0881209331925859,"1","Rbm39"
"Csnk1a1",2.95699166554863e-06,2.12795512781079,0.895,0.211,0.0918234621902816,"1","Csnk1a1"
"Setbp1",3.0586962305986e-06,4.01266878325285,0.579,0.026,0.0949816940487783,"1","Setbp1"
"Auts2",3.14585105443633e-06,1.6328045154196,1,0.211,0.0976881127934113,"1","Auts2"
"Malat1",3.37359077923269e-06,1.86799246666677,1,0.421,0.104760114467513,"1","Malat1"
"Ina",3.43239004855175e-06,3.30228467638445,0.579,0.026,0.106586008177678,"1","Ina"
"Pfn2",3.46831290431439e-06,3.13965630364086,0.737,0.132,0.107701520617675,"1","Pfn2"
"mt-Nd4l",3.57505983379877e-06,2.97020850503705,0.684,0.105,0.111016333018953,"1","mt-Nd4l"
"Mex3a",3.71113879441658e-06,3.27856084795718,0.632,0.053,0.115241992983018,"1","Mex3a"
"mt-Co3",3.71201658284271e-06,1.90315647120547,0.947,0.553,0.115269250947015,"1","mt-Co3"
"Tmem35a",3.84964778464426e-06,3.53760601870901,0.579,0.026,0.119543112656558,"1","Tmem35a"
"Sgip1",3.84964778464426e-06,3.20346695974274,0.579,0.026,0.119543112656558,"1","Sgip1"
"Gnaq",3.84964778464426e-06,3.29918899544056,0.579,0.026,0.119543112656558,"1","Gnaq"
"Zfp451",4.31528526180111e-06,2.62018491826118,0.579,0.026,0.13400255323471,"1","Zfp451"
"Dapk1",4.31528526180111e-06,2.89540810633931,0.579,0.026,0.13400255323471,"1","Dapk1"
"Rab3c",4.31528526180111e-06,2.37736867160735,0.579,0.026,0.13400255323471,"1","Rab3c"
"Cxadr",4.31528526180111e-06,2.37067849409944,0.579,0.026,0.13400255323471,"1","Cxadr"
"4930402H24Rik",4.42200372925626e-06,2.08463763576417,0.789,0.105,0.137316481804595,"1","4930402H24Rik"
"Bcas2",4.64078678259758e-06,2.82956940831079,0.737,0.132,0.144110351960003,"1","Bcas2"
"Ank3",4.82411450067115e-06,1.25730785549235,0.895,0.184,0.149803227589341,"1","Ank3"
"Ubn2",4.95815634498935e-06,0.942193905969525,0.895,0.132,0.153965628980954,"1","Ubn2"
"mt-Nd5",5.09524002856689e-06,4.00590796952947,0.632,0.105,0.158222488607088,"1","mt-Nd5"
"mt-Co2",5.16218038349384e-06,1.8146490305046,0.947,0.553,0.160301187448634,"1","mt-Co2"
"Akirin2",5.42396174536953e-06,1.66377317114996,0.737,0.105,0.16843028407896,"1","Akirin2"
"Igsf9",5.43976852194562e-06,6.29870168061593,0.474,0,0.168921131911977,"1","Igsf9"
"C1qtnf4",5.43976852194562e-06,6.65377809920594,0.474,0,0.168921131911977,"1","C1qtnf4"
"Trim33",5.43976852194562e-06,5.91721336598318,0.474,0,0.168921131911977,"1","Trim33"
"Magi2",5.43976852194562e-06,5.63484486769105,0.474,0,0.168921131911977,"1","Magi2"
"Gabra2",5.43976852194562e-06,6.49432053616413,0.474,0,0.168921131911977,"1","Gabra2"
"Pcyox1",5.43976852194562e-06,5.70670314655902,0.474,0,0.168921131911977,"1","Pcyox1"
"Atcay",5.43976852194562e-06,5.83377940982491,0.474,0,0.168921131911977,"1","Atcay"
"Banp",5.43976852194562e-06,5.81416388060124,0.474,0,0.168921131911977,"1","Banp"
"Snap91",5.43976852194562e-06,5.60884025584681,0.474,0,0.168921131911977,"1","Snap91"
"Zfp652",5.43976852194562e-06,5.57920346044126,0.474,0,0.168921131911977,"1","Zfp652"
"Scrt1",5.43976852194562e-06,5.63535501223611,0.474,0,0.168921131911977,"1","Scrt1"
"Rbfox1",5.43976852194562e-06,6.05644393896281,0.474,0,0.168921131911977,"1","Rbfox1"
"Dgcr2",5.43976852194562e-06,5.65923857491652,0.474,0,0.168921131911977,"1","Dgcr2"
"Nrxn1",5.43976852194562e-06,6.78794283674415,0.474,0,0.168921131911977,"1","Nrxn1"
"Stmn4",5.63970288707998e-06,2.77005007718124,0.684,0.079,0.175129693752495,"1","Stmn4"
"Ptprd",5.97838779985966e-06,2.87909547343752,0.737,0.105,0.185646876349042,"1","Ptprd"
"Arid4a",6.13191674995383e-06,4.80457936846699,0.526,0.026,0.190414410836316,"1","Arid4a"
"Ip6k2",6.23960648038286e-06,2.07045863122584,0.684,0.079,0.193758500035329,"1","Ip6k2"
"Gria2",6.24444736795463e-06,1.96517527147574,0.895,0.237,0.193908824117095,"1","Gria2"
"Klf7",6.33453547603548e-06,3.20183140246663,0.632,0.053,0.19670633013733,"1","Klf7"
"Nnat",6.74825931940613e-06,2.01878942044442,0.947,0.342,0.209553696645519,"1","Nnat"
"Map2",7.21630998068048e-06,1.66557567311356,0.895,0.211,0.224088073830071,"1","Map2"
"Nbea",7.62759415834598e-06,2.78057213127033,0.684,0.079,0.236859681399118,"1","Nbea"
"Sorbs2",7.84301486751411e-06,1.2490342291943,0.789,0.105,0.243549140680916,"1","Sorbs2"
"Smarcc1",8.42785579427875e-06,1.8491183079072,0.684,0.079,0.261710205979738,"1","Smarcc1"
"Gdi1",9.30454985057636e-06,2.23087799239771,0.789,0.158,0.288934186509948,"1","Gdi1"
"Bcl11a",9.36282988373537e-06,1.88250431106831,0.842,0.158,0.290743956379635,"1","Bcl11a"
"mt-Cytb",9.41806318234166e-06,1.75034748567049,0.947,0.5,0.292459116001256,"1","mt-Cytb"
"Phf3",9.63179671706831e-06,2.47663906585238,0.632,0.053,0.299096183455122,"1","Phf3"
"Plxna2",9.63179671706831e-06,1.49783956599362,0.632,0.053,0.299096183455122,"1","Plxna2"
"Tanc2",9.63179671706831e-06,2.30402677077908,0.632,0.053,0.299096183455122,"1","Tanc2"
"Gpatch8",1.06827214661094e-05,1.35965916656172,0.632,0.053,0.331730549687096,"1","Gpatch8"
"Baz2b",1.08793774817872e-05,4.15048322737218,0.526,0.026,0.337837308941937,"1","Baz2b"
"Senp6",1.08793774817872e-05,4.11613452589235,0.526,0.026,0.337837308941937,"1","Senp6"
"Eif3c",1.08850054757897e-05,2.54210649752048,0.737,0.132,0.338012075039699,"1","Eif3c"
"Tulp4",1.08853364007012e-05,1.79620397750572,0.789,0.132,0.338022351250975,"1","Tulp4"
"Dpf1",1.14448192952008e-05,3.34518499304566,0.579,0.053,0.355395973573871,"1","Dpf1"
"Sobp",1.14448192952008e-05,2.97471935076667,0.579,0.053,0.355395973573871,"1","Sobp"
